Open,High,Low,Close,Volume,Dividends,Stock Splits,EMA16,EMA29,MACD,Date
1985.0,2005.0,1935.0,1995.0,573084,0.0,0.0,1995.0,1995.0,0.0,2024-06-05 00:00:00
2040.0,2095.0,2015.0,2025.0,633326,0.0,0.0,1998.5294117647059,1997.0,1.5294117647058556,2024-06-06 00:00:00
2020.0,2025.0,1980.0,1985.0,374190,0.0,0.0,1996.9377162629758,1996.2,0.7377162629757095,2024-06-07 00:00:00
2020.0,2075.0,2000.0,2045.0,1003614,0.0,0.0,2002.5921025849784,1999.4533333333334,3.1387692516450443,2024-06-11 00:00:00
2045.0,2060.0,1990.0,2000.0,680408,0.0,0.0,2002.2871493396867,1999.4897777777778,2.7973715619089035,2024-06-12 00:00:00
2030.0,2065.0,1990.0,2045.0,896126,0.0,0.0,2007.312190593841,2002.5237925925926,4.788398001248424,2024-06-13 00:00:00
2045.0,2245.0,2045.0,2210.0,1949674,0.0,0.0,2031.1578152298596,2016.3555397530863,14.802275476773275,2024-06-14 00:00:00
2200.0,2260.0,2175.0,2210.0,878123,0.0,0.0,2052.198072261641,2029.2651704362138,22.932901825427052,2024-06-17 00:00:00
2245.0,2295.0,2225.0,2250.0,1255101,0.0,0.0,2075.468887289683,2043.9808257404663,31.48806154921681,2024-06-18 00:00:00
2270.0,2415.0,2235.0,2365.0,1827679,0.0,0.0,2109.531371137956,2065.382104024435,44.14926711352064,2024-06-19 00:00:00
2350.0,2415.0,2285.0,2310.0,1317160,0.0,0.0,2133.115915709961,2081.6899637561396,51.42595195382137,2024-06-20 00:00:00
2310.0,2340.0,2180.0,2190.0,1108210,0.0,0.0,2139.8081609205537,2088.9106328390635,50.897528081490236,2024-06-21 00:00:00
2175.0,2175.0,2050.0,2050.0,985545,0.0,0.0,2129.2424949299,2086.3165906497925,42.925904280107716,2024-06-24 00:00:00
2070.0,2120.0,2030.0,2090.0,818161,0.0,0.0,2124.6257308205,2086.5621512731395,38.063579547360405,2024-06-25 00:00:00
2125.0,2225.0,2125.0,2220.0,1215587,0.0,0.0,2135.8462330769116,2095.45800785493,40.38822522198143,2024-06-26 00:00:00
2205.0,2215.0,2135.0,2150.0,512445,0.0,0.0,2137.511382126687,2099.0941406646016,38.41724146208526,2024-06-27 00:00:00
2185.0,2270.0,2170.0,2240.0,1000303,0.0,0.0,2149.568866582371,2108.4878646202947,41.08100196207624,2024-06-28 00:00:00
2235.0,2235.0,2155.0,2170.0,620153,0.0,0.0,2151.9725293373863,2112.588673645608,39.38385569177808,2024-07-01 00:00:00
2150.0,2170.0,2060.0,2085.0,766094,0.0,0.0,2144.0934082388703,2110.7494287359013,33.34397950296898,2024-07-02 00:00:00
2115.0,2145.0,2045.0,2115.0,949177,0.0,0.0,2140.670654328415,2111.032800153508,29.637854174906806,2024-07-03 00:00:00
2100.0,2115.0,1985.0,2000.0,1783801,0.0,0.0,2124.1211655838956,2103.630613476608,20.49055210728784,2024-07-04 00:00:00
1995.0,2015.0,1975.0,1975.0,939144,0.0,0.0,2106.577499044614,2095.055239244834,11.522259799779931,2024-07-05 00:00:00
